Id,LoaiNha,PhanVung,DienTichLot,CauHinhLot,LoaiToaNha,TinhTrangTongThe,NamXayDung,NamSuaChua,VatLieuNgoai,BsmtFinSF2,TongSoBsmtSF,GiaBan
2471,CanHo,DN,97,TamGiac,3Tang,8,2002,2002,ToiGach,0,0,1167379092
2472,ChungCu,HN,123,ChuL,1Tang,5,2002,2004,Toi,0,0,1714853700
2473,NhaPho,HN,146,ChuL,3Tang,10,2006,2006,ToiGach,0,0,2185126374
2474,CanHo,HN,58,TamGiac,2Tang,5,1994,2007,ToiGach,0,0,776359580
2475,CanHo,HN,89,Vuong,1Tang,6,2014,2014,ToiGach,0,0,1230858252
2476,CanHo,DN,116,ChuL,1Tang,6,2012,2012,Toi,0,0,1739551080
2477,CanHo,HCM,156,TamGiac,1Tang,5,1990,2016,BeTong,0,0,2269584564
2478,ChungCu,DN,179,ChuNhat,1Tang,5,2022,2022,ToiGach,0,0,2595566767
2479,NhaPho,HP,88,Vuong,3Tang,7,2011,2011,ToiGach,0,0,1279470016
2480,NhaPho,DN,138,Vuong,2Tang,5,1990,2002,ToiGach,0,0,1670469714
2481,CanHo,DN,55,Vuong,2Tang,9,2005,2005,Gach,0,0,737840895
2482,ChungCu,HCM,170,ChuL,3Tang,10,2018,2023,BeTong,0,0,2200257470
2483,NhaPho,DN,113,Vuong,1Tang,8,2009,2009,BeTong,0,0,1585139366
2484,NhaPho,HCM,192,TamGiac,1Tang,7,2000,2000,Gach,0,0,2504778240
2485,NhaLienKe,CT,196,ChuL,CanHo,9,2014,2017,BeTong,0,0,2939269508
2486,NhaLienKe,HN,56,ChuNhat,2Tang,9,2000,2000,Toi,0,0,828039128
2487,NhaLienKe,HP,73,ChuL,CanHo,5,2005,2014,ToiGach,0,0,1039960847
2488,ChungCu,HCM,111,ChuL,1Tang,6,1995,1995,Gach,0,0,1382988516
2489,CanHo,CT,170,Vuong,3Tang,9,2018,2018,BeTong,0,0,2075361870
2490,NhaLienKe,HP,102,TamGiac,3Tang,8,2018,2023,BeTong,0,0,1479261732
2491,ChungCu,CT,118,ChuNhat,1Tang,7,1996,2009,Toi,0,0,1550454746
2492,CanHo,CT,81,ChuNhat,2Tang,10,2019,2020,Gach,0,0,1031159565
2493,NhaPho,HCM,86,ChuL,1Tang,8,1998,1998,Toi,0,0,1206917636
2494,NhaPho,HCM,116,ChuL,1Tang,5,2003,2003,Toi,0,0,1521444168
2495,NhaLienKe,DN,50,ChuL,1Tang,5,1993,1993,Toi,0,0,606257650
2496,CanHo,HP,150,ChuL,CanHo,5,2022,2023,Gach,0,0,2222355450
2497,NhaPho,CT,185,ChuL,3Tang,8,2022,2022,BeTong,0,0,2558455465
2498,CanHo,HCM,173,TamGiac,CanHo,5,2006,2023,ToiGach,0,0,2481937926
2499,NhaLienKe,CT,72,Vuong,CanHo,5,2008,2023,Toi,0,0,942717960
2500,NhaPho,HP,80,ChuNhat,CanHo,10,1998,2017,Toi,0,0,982945840
2501,ChungCu,CT,57,ChuL,CanHo,7,2013,2014,ToiGach,0,0,826598211
2502,NhaPho,HP,186,ChuNhat,3Tang,6,2004,2011,BeTong,0,0,2557856748
2503,NhaPho,CT,197,Vuong,1Tang,9,1995,2023,Toi,0,0,2834038454
2504,NhaLienKe,HCM,177,TamGiac,CanHo,7,2016,2023,Toi,0,0,2126014968
2505,CanHo,CT,169,ChuNhat,1Tang,9,2006,2006,ToiGach,0,0,2035293871
2506,NhaPho,DN,144,Vuong,2Tang,6,1991,1991,Gach,0,0,2012026464
2507,ChungCu,HCM,91,Vuong,CanHo,7,2018,2021,BeTong,0,0,1343780347
2508,ChungCu,HCM,198,ChuL,2Tang,7,2002,2023,BeTong,0,0,2844766188
2509,ChungCu,HP,190,TamGiac,2Tang,9,2012,2012,Toi,0,0,2469441210
2510,CanHo,HCM,156,ChuL,3Tang,5,2015,2022,ToiGach,0,0,2080971204
2511,ChungCu,HP,126,TamGiac,3Tang,8,2014,2014,ToiGach,0,0,1701280476
2512,NhaLienKe,DN,156,TamGiac,2Tang,5,2009,2009,Gach,0,0,1929109572
2513,ChungCu,DN,156,ChuNhat,CanHo,9,2009,2017,Gach,0,0,2152481136
2514,CanHo,HP,178,TamGiac,3Tang,6,2011,2011,Toi,0,0,2518459522
2515,NhaPho,HN,54,ChuL,2Tang,9,1993,1993,Toi,0,0,807494184
2516,CanHo,DN,121,ChuNhat,3Tang,8,2000,2018,Toi,0,0,1769493231
2517,ChungCu,HP,157,ChuL,3Tang,7,2013,2023,ToiGach,0,0,2287223571
2518,NhaPho,DN,118,Vuong,3Tang,9,2000,2016,Gach,0,0,1579388464
2519,NhaPho,DN,131,TamGiac,2Tang,6,2016,2016,Gach,0,0,1724409330
2520,ChungCu,DN,136,Vuong,2Tang,10,2001,2001,Gach,0,0,1981106424
2521,CanHo,HCM,167,TamGiac,1Tang,7,2022,2022,Toi,0,0,2357647550
2522,NhaLienKe,HN,119,ChuNhat,2Tang,8,1992,1992,BeTong,0,0,1709685852
2523,CanHo,HP,79,ChuL,3Tang,9,2015,2015,ToiGach,0,0,1118774063
2524,NhaPho,CT,116,Vuong,2Tang,10,2015,2022,ToiGach,0,0,1626454560
2525,CanHo,HP,140,TamGiac,1Tang,5,2015,2015,ToiGach,0,0,1868402200
2526,NhaPho,HN,150,ChuL,2Tang,7,2002,2022,Gach,0,0,2201089950
2527,NhaLienKe,HCM,135,ChuNhat,2Tang,5,2003,2021,Toi,0,0,1786638465
2528,CanHo,CT,97,ChuL,1Tang,5,2008,2008,Gach,0,0,1196636038
2529,CanHo,HN,118,ChuNhat,2Tang,10,1998,1998,ToiGach,0,0,1487009214
2530,ChungCu,HCM,67,ChuNhat,CanHo,8,2019,2019,BeTong,0,0,885551931
2531,NhaPho,HP,132,Vuong,CanHo,7,2014,2014,BeTong,0,0,1634190624
2532,NhaPho,HP,179,TamGiac,CanHo,9,2014,2017,BeTong,0,0,2658822861
2533,CanHo,HN,103,ChuL,2Tang,7,2006,2018,Gach,0,0,1366348045
2534,ChungCu,HP,63,ChuL,2Tang,6,2021,2021,BeTong,0,0,756627480
2535,NhaPho,HP,169,ChuNhat,2Tang,10,2011,2014,BeTong,0,0,2265251326
2536,NhaPho,DN,177,Vuong,2Tang,9,2015,2015,Gach,0,0,2611308435
2537,NhaLienKe,HCM,133,ChuL,CanHo,6,1995,1995,BeTong,0,0,1917964804
2538,CanHo,DN,121,ChuNhat,3Tang,9,2022,2022,ToiGach,0,0,1655167349
2539,CanHo,CT,83,Vuong,2Tang,5,2019,2019,BeTong,0,0,1049960624
2540,NhaPho,DN,53,ChuNhat,3Tang,10,2007,2007,ToiGach,0,0,695563626
2541,CanHo,HP,162,ChuNhat,1Tang,10,2018,2023,ToiGach,0,0,2262607020
2542,NhaPho,CT,130,TamGiac,3Tang,7,1994,2017,Toi,0,0,1856858380
2543,NhaPho,CT,141,TamGiac,2Tang,10,2000,2000,Toi,0,0,1921477500
2544,ChungCu,CT,52,TamGiac,CanHo,8,2011,2011,Toi,0,0,661240268
2545,NhaLienKe,HP,137,ChuNhat,2Tang,9,2015,2015,ToiGach,0,0,1861691082
2546,ChungCu,CT,86,Vuong,3Tang,10,2011,2011,ToiGach,0,0,1213574896
2547,ChungCu,HCM,154,ChuL,CanHo,8,2020,2021,Toi,0,0,1993237554
2548,CanHo,DN,186,Vuong,2Tang,5,2021,2021,BeTong,0,0,2430210900
2549,ChungCu,CT,71,Vuong,CanHo,6,2014,2018,ToiGach,0,0,1034077086
2550,CanHo,DN,125,Vuong,2Tang,9,2004,2004,Toi,0,0,1834062875
2551,NhaPho,DN,134,TamGiac,CanHo,5,2017,2017,Toi,0,0,1745458942
2552,NhaLienKe,CT,63,ChuNhat,3Tang,5,1996,1996,BeTong,0,0,916974954
2553,NhaPho,HCM,78,TamGiac,1Tang,8,2001,2021,Gach,0,0,1141614396
2554,NhaPho,HN,79,TamGiac,3Tang,10,1994,1994,ToiGach,0,0,1100752346
2555,NhaPho,DN,61,ChuL,CanHo,8,1997,1997,BeTong,0,0,779826257
2556,ChungCu,HCM,94,TamGiac,CanHo,10,2007,2013,BeTong,0,0,1145828604
2557,ChungCu,HP,103,ChuL,1Tang,5,1993,2022,BeTong,0,0,1406747529
2558,ChungCu,CT,140,ChuL,3Tang,5,2004,2004,BeTong,0,0,1871173920
2559,NhaPho,DN,137,TamGiac,CanHo,10,1994,1994,BeTong,0,0,1722773904
2560,ChungCu,HN,187,ChuNhat,CanHo,7,2017,2017,BeTong,0,0,2548268074
2561,NhaPho,HP,64,ChuNhat,1Tang,10,2022,2022,ToiGach,0,0,897649408
2562,NhaLienKe,HP,133,ChuNhat,1Tang,9,1991,2019,BeTong,0,0,1805498807
2563,NhaLienKe,CT,102,ChuNhat,2Tang,8,2000,2018,BeTong,0,0,1342465656
2564,ChungCu,HCM,182,Vuong,CanHo,9,2003,2003,Gach,0,0,2295616778
2565,CanHo,HN,95,Vuong,2Tang,7,1997,2005,BeTong,0,0,1239266640
2566,NhaLienKe,HN,113,ChuL,3Tang,7,2010,2012,BeTong,0,0,1639169299
2567,CanHo,DN,171,TamGiac,CanHo,7,2017,2017,Toi,0,0,2098698390
2568,NhaLienKe,HP,108,Vuong,3Tang,7,2011,2011,BeTong,0,0,1559568600
2569,CanHo,CT,78,Vuong,3Tang,8,1992,2012,Toi,0,0,1125886398
2570,CanHo,CT,124,TamGiac,2Tang,9,2017,2017,BeTong,0,0,1850022216
2571,ChungCu,CT,199,ChuL,3Tang,9,2007,2007,Toi,0,0,2684911582
2572,ChungCu,HN,162,TamGiac,1Tang,7,2012,2019,Toi,0,0,2071928808
2573,CanHo,CT,159,TamGiac,2Tang,9,2001,2001,BeTong,0,0,1971506667
2574,NhaPho,HCM,165,Vuong,3Tang,10,1991,1991,BeTong,0,0,1995520560
2575,NhaPho,HCM,79,Vuong,2Tang,10,1990,1990,Toi,0,0,1132439878
2576,NhaPho,HN,134,ChuL,1Tang,10,2014,2023,ToiGach,0,0,1713923248
2577,CanHo,HCM,54,TamGiac,2Tang,8,1994,2008,BeTong,0,0,671361156
2578,NhaPho,HP,146,Vuong,CanHo,5,1999,1999,BeTong,0,0,2094548120
2579,ChungCu,HN,178,TamGiac,CanHo,6,2000,2000,Gach,0,0,2563337238
2580,CanHo,HCM,192,Vuong,1Tang,8,2020,2020,Toi,0,0,2480611776
2581,CanHo,HP,195,ChuL,1Tang,6,2012,2023,Toi,0,0,2722582590
2582,CanHo,HCM,91,TamGiac,2Tang,7,1999,1999,Gach,0,0,1289321306
2583,NhaLienKe,HP,168,TamGiac,CanHo,6,1996,2000,Toi,0,0,2066791104
2584,ChungCu,HP,91,Vuong,3Tang,9,2014,2021,ToiGach,0,0,1154866258
2585,NhaLienKe,DN,71,ChuNhat,3Tang,10,2009,2011,BeTong,0,0,1042538227
2586,CanHo,HCM,93,ChuL,CanHo,10,1993,1993,ToiGach,0,0,1198952559
2587,CanHo,CT,67,ChuL,CanHo,10,2005,2005,Toi,0,0,812176010
2588,NhaPho,HCM,197,Vuong,CanHo,5,2021,2021,BeTong,0,0,2556580502
2589,ChungCu,HCM,192,Vuong,CanHo,10,1994,1994,BeTong,0,0,2304584256
2590,CanHo,HCM,171,ChuNhat,3Tang,5,2018,2020,ToiGach,0,0,2226980880
2591,ChungCu,CT,68,TamGiac,3Tang,8,2014,2014,Gach,0,0,849425604
2592,NhaLienKe,DN,95,TamGiac,3Tang,6,2018,2018,Gach,0,0,1186132570
2593,NhaPho,HCM,151,Vuong,1Tang,7,2006,2019,Toi,0,0,2083942544
2594,NhaLienKe,HCM,164,Vuong,3Tang,6,2019,2019,Toi,0,0,2422956664
2595,ChungCu,DN,173,ChuNhat,CanHo,10,2011,2011,Gach,0,0,2298553947
2596,NhaLienKe,CT,176,ChuNhat,3Tang,7,2018,2018,Gach,0,0,2475846736
2597,CanHo,DN,196,Vuong,CanHo,10,2012,2017,Toi,0,0,2883727224
2598,ChungCu,HN,192,TamGiac,3Tang,10,1998,1998,ToiGach,0,0,2418052032
2599,ChungCu,HCM,184,ChuNhat,2Tang,9,2015,2019,Gach,0,0,2691486312
2600,NhaPho,HP,113,Vuong,3Tang,9,1990,1990,Gach,0,0,1527303254
2601,CanHo,CT,101,TamGiac,1Tang,9,2016,2022,Gach,0,0,1504883739
2602,NhaPho,HN,79,ChuL,2Tang,6,2015,2015,ToiGach,0,0,978295078
2603,NhaLienKe,CT,120,ChuNhat,3Tang,10,2014,2014,BeTong,0,0,1532304360
2604,NhaLienKe,HP,101,Vuong,CanHo,7,1990,2018,ToiGach,0,0,1337701166
2605,NhaPho,HCM,190,TamGiac,2Tang,10,1992,2013,BeTong,0,0,2771238730
2606,NhaPho,HN,100,TamGiac,3Tang,10,1990,2013,ToiGach,0,0,1481979200
2607,NhaLienKe,HN,82,ChuL,2Tang,5,2004,2004,ToiGach,0,0,1184806930
2608,CanHo,HCM,125,TamGiac,2Tang,5,2006,2006,ToiGach,0,0,1590022500
2609,NhaPho,DN,76,Vuong,CanHo,7,2016,2020,Toi,0,0,959234152
2610,ChungCu,DN,184,Vuong,3Tang,7,2018,2018,Toi,0,0,2269131608
2611,ChungCu,HCM,161,TamGiac,CanHo,5,2020,2021,BeTong,0,0,1966008191
2612,CanHo,HN,144,TamGiac,1Tang,5,1995,2020,Toi,0,0,1896279840
2613,NhaLienKe,HCM,80,ChuL,3Tang,9,2009,2009,Toi,0,0,1012446480
2614,ChungCu,HN,127,TamGiac,3Tang,8,2009,2020,ToiGach,0,0,1680590111
2615,ChungCu,HP,161,ChuNhat,3Tang,6,2001,2001,ToiGach,0,0,2153085200
2616,NhaPho,CT,75,Vuong,3Tang,10,1995,2019,BeTong,0,0,1104024600
2617,NhaLienKe,HN,179,Vuong,3Tang,9,1990,1990,Gach,0,0,2359306636
2618,NhaPho,HP,107,ChuNhat,1Tang,5,1997,2016,BeTong,0,0,1431236280
2619,NhaLienKe,CT,126,ChuNhat,1Tang,5,1995,1995,Toi,0,0,1548787590
2620,CanHo,DN,92,TamGiac,3Tang,9,1997,1997,Gach,0,0,1261582752
2621,CanHo,CT,135,TamGiac,1Tang,5,2022,2022,BeTong,0,0,1781344170
2622,NhaPho,HP,112,TamGiac,CanHo,5,2004,2016,BeTong,0,0,1578070256
2623,CanHo,DN,94,TamGiac,2Tang,8,2002,2015,ToiGach,0,0,1204763408
2624,ChungCu,HN,62,ChuNhat,2Tang,5,2010,2010,BeTong,0,0,780376082
2625,CanHo,HCM,112,ChuNhat,3Tang,9,1998,1998,Toi,0,0,1633560992
2626,CanHo,CT,105,ChuNhat,3Tang,9,2004,2004,BeTong,0,0,1283667210
2627,NhaPho,HN,175,Vuong,3Tang,10,2022,2022,ToiGach,0,0,2450485800
2628,NhaPho,HN,176,TamGiac,CanHo,10,2007,2007,Toi,0,0,2531128160
2629,NhaPho,HCM,119,ChuL,1Tang,5,2016,2018,Toi,0,0,1725027451
2630,NhaLienKe,DN,172,ChuL,CanHo,10,2015,2019,Gach,0,0,2200248940
2631,NhaLienKe,HN,104,ChuL,CanHo,5,2010,2010,BeTong,0,0,1490094112
2632,CanHo,DN,181,ChuL,1Tang,5,2017,2017,BeTong,0,0,2474573899
2633,NhaLienKe,HP,68,TamGiac,2Tang,7,2020,2020,Gach,0,0,1005712724
2634,ChungCu,HN,78,ChuL,CanHo,6,1997,2000,BeTong,0,0,951380898
2635,NhaPho,HCM,108,TamGiac,CanHo,9,2015,2015,BeTong,0,0,1468294452
2636,NhaLienKe,HN,132,ChuL,CanHo,8,1991,2020,Toi,0,0,1837615560
2637,CanHo,HP,84,TamGiac,3Tang,5,1997,1997,ToiGach,0,0,1204400232
2638,ChungCu,DN,184,ChuNhat,CanHo,5,2010,2022,ToiGach,0,0,2737476560
2639,ChungCu,DN,117,ChuL,2Tang,10,2012,2023,BeTong,0,0,1566969651
2640,NhaPho,CT,100,TamGiac,2Tang,7,1998,2005,ToiGach,0,0,1258254300
2641,NhaLienKe,DN,84,ChuNhat,2Tang,6,2012,2012,Gach,0,0,1036688436
2642,NhaPho,CT,130,Vuong,2Tang,8,2010,2010,Gach,0,0,1750744970
2643,ChungCu,DN,165,TamGiac,3Tang,5,2022,2023,BeTong,0,0,2212676565
2644,NhaLienKe,HP,69,ChuL,2Tang,10,2005,2005,Toi,0,0,931542159
2645,NhaPho,HCM,145,Vuong,CanHo,7,1999,1999,Gach,0,0,2088787640
2646,NhaLienKe,HP,84,ChuL,3Tang,10,2019,2019,BeTong,0,0,1072890336
2647,NhaPho,DN,67,ChuL,CanHo,6,1992,2019,Gach,0,0,835055706
2648,NhaLienKe,HP,68,TamGiac,CanHo,6,1990,1990,Gach,0,0,992152844
2649,NhaPho,HP,171,ChuL,3Tang,7,2017,2017,Toi,0,0,2445591726
2650,NhaLienKe,DN,94,Vuong,1Tang,7,2007,2007,Toi,0,0,1154845836
2651,CanHo,HCM,146,TamGiac,2Tang,8,2020,2020,BeTong,0,0,1953037328
2652,ChungCu,DN,148,Vuong,3Tang,9,2014,2014,Gach,0,0,1798214504
2653,NhaPho,HCM,95,ChuL,2Tang,7,2000,2000,Gach,0,0,1169151605
2654,CanHo,HP,167,ChuNhat,3Tang,9,2003,2007,Toi,0,0,2179668302
2655,NhaLienKe,HN,52,Vuong,3Tang,10,1995,1995,BeTong,0,0,661574160
2656,NhaPho,HP,64,Vuong,3Tang,10,2013,2014,Gach,0,0,904600192
2657,ChungCu,CT,59,ChuNhat,2Tang,5,1993,1993,Gach,0,0,777633747
2658,ChungCu,CT,64,ChuNhat,CanHo,9,2010,2010,Gach,0,0,921942016
2659,ChungCu,CT,169,ChuL,1Tang,7,2013,2013,BeTong,0,0,2140574787
2660,ChungCu,DN,174,Vuong,2Tang,10,2014,2014,ToiGach,0,0,2237211786
2661,NhaLienKe,HP,90,ChuL,2Tang,8,1991,1991,Gach,0,0,1108826550
2662,CanHo,HCM,151,ChuNhat,CanHo,8,2016,2016,Gach,0,0,1915195967
2663,CanHo,DN,69,Vuong,CanHo,9,2018,2020,Toi,0,0,951495165
2664,CanHo,DN,106,TamGiac,3Tang,5,2017,2017,ToiGach,0,0,1300692928
2665,ChungCu,HN,85,ChuL,CanHo,7,2010,2010,ToiGach,0,0,1120790110
2666,NhaPho,DN,80,TamGiac,1Tang,6,2011,2011,Toi,0,0,1177188240
2667,NhaPho,HCM,94,TamGiac,1Tang,7,2003,2003,BeTong,0,0,1170312126
2668,CanHo,HCM,89,Vuong,1Tang,10,2019,2019,BeTong,0,0,1139378267
2669,NhaPho,HCM,163,ChuNhat,2Tang,8,2009,2009,Gach,0,0,2350272876
2670,NhaLienKe,HN,123,TamGiac,2Tang,10,2022,2022,Gach,0,0,1733436294
2671,CanHo,DN,146,ChuNhat,1Tang,10,1996,1996,ToiGach,0,0,1812196238
2672,NhaPho,HP,115,Vuong,2Tang,9,2000,2000,BeTong,0,0,1567216665
2673,CanHo,CT,93,ChuL,2Tang,7,1994,2006,BeTong,0,0,1269265767
2674,CanHo,DN,71,ChuL,2Tang,6,1998,2014,Gach,0,0,958573911
2675,ChungCu,HCM,53,ChuNhat,2Tang,8,2002,2002,ToiGach,0,0,678907210
2676,NhaLienKe,DN,175,Vuong,2Tang,10,2014,2014,BeTong,0,0,2453029425
2677,CanHo,DN,113,TamGiac,1Tang,5,2017,2023,BeTong,0,0,1547118482
2678,NhaPho,HN,175,ChuL,3Tang,9,2015,2015,Toi,0,0,2378300225
2679,CanHo,HP,76,TamGiac,3Tang,7,2002,2014,Toi,0,0,921071132
2680,NhaPho,HCM,83,Vuong,1Tang,10,2022,2023,ToiGach,0,0,1240966615
2681,CanHo,CT,82,ChuL,2Tang,9,2004,2010,BeTong,0,0,1125422448
2682,NhaPho,HN,52,ChuNhat,2Tang,6,1997,1997,Gach,0,0,722427888
2683,NhaLienKe,HN,77,Vuong,3Tang,5,2003,2013,Toi,0,0,931232764
2684,NhaPho,HP,73,TamGiac,1Tang,10,2003,2011,BeTong,0,0,1040966349
2685,CanHo,CT,70,ChuNhat,1Tang,8,2006,2021,ToiGach,0,0,979040650
2686,ChungCu,HCM,183,ChuNhat,CanHo,9,2012,2012,Toi,0,0,2243230836
2687,ChungCu,CT,131,ChuNhat,1Tang,5,1991,2006,BeTong,0,0,1696880728
2688,CanHo,DN,152,ChuNhat,1Tang,7,2013,2020,BeTong,0,0,1977021440
2689,CanHo,HCM,160,ChuL,2Tang,7,1995,1997,ToiGach,0,0,2055417760
2690,ChungCu,HCM,94,Vuong,CanHo,6,1992,1992,ToiGach,0,0,1272807094
2691,ChungCu,CT,63,TamGiac,1Tang,8,2007,2007,Gach,0,0,859069575
2692,ChungCu,HN,87,ChuL,3Tang,8,2004,2015,BeTong,0,0,1174720458
2693,NhaPho,HCM,115,ChuL,3Tang,8,2013,2013,Gach,0,0,1613959450
2694,NhaPho,HCM,58,ChuNhat,CanHo,7,1994,1994,ToiGach,0,0,766549460
2695,CanHo,HCM,113,Vuong,1Tang,7,2010,2010,BeTong,0,0,1493716829
2696,ChungCu,HN,73,ChuL,CanHo,8,2007,2017,Toi,0,0,918336861
2697,ChungCu,HN,182,Vuong,1Tang,6,2009,2009,ToiGach,0,0,2580667544
2698,NhaLienKe,CT,119,TamGiac,1Tang,5,1997,1997,BeTong,0,0,1660337861
2699,NhaPho,HP,163,ChuL,2Tang,8,2009,2010,BeTong,0,0,1981406973
2700,NhaPho,HCM,130,Vuong,CanHo,7,2009,2012,Gach,0,0,1798940000
2701,NhaLienKe,HP,169,Vuong,2Tang,6,2005,2018,ToiGach,0,0,2244230599
2702,CanHo,CT,73,Vuong,2Tang,7,2015,2020,ToiGach,0,0,930718318
2703,NhaPho,CT,92,TamGiac,2Tang,9,2018,2018,BeTong,0,0,1328799056
2704,CanHo,HN,159,TamGiac,3Tang,8,2012,2012,Gach,0,0,1997416194
2705,NhaPho,DN,61,TamGiac,2Tang,6,2006,2018,Gach,0,0,773985019
2706,NhaLienKe,HN,126,ChuL,3Tang,8,1991,1992,BeTong,0,0,1718115840
2707,NhaLienKe,HP,82,ChuNhat,1Tang,7,2021,2021,BeTong,0,0,1171603126
2708,CanHo,HP,142,Vuong,CanHo,6,2002,2014,BeTong,0,0,1748207440
2709,CanHo,HP,164,Vuong,2Tang,8,2018,2018,Toi,0,0,2021227348
2710,ChungCu,HCM,100,Vuong,1Tang,10,2009,2009,Gach,0,0,1228599500
2711,NhaPho,HN,152,Vuong,CanHo,9,2005,2021,Toi,0,0,1954881272
2712,NhaLienKe,DN,95,Vuong,3Tang,6,1998,1998,BeTong,0,0,1326602800
2713,ChungCu,DN,167,TamGiac,CanHo,6,1993,2022,BeTong,0,0,2218015510
2714,NhaLienKe,DN,196,TamGiac,1Tang,6,2006,2010,Gach,0,0,2550283008
2715,NhaLienKe,DN,77,ChuNhat,2Tang,6,2009,2023,Toi,0,0,1009312150
2716,NhaLienKe,HP,149,TamGiac,2Tang,10,1994,1994,Toi,0,0,1818398235
2717,NhaPho,HCM,196,Vuong,3Tang,6,2012,2012,ToiGach,0,0,2919780640
2718,CanHo,CT,163,ChuNhat,2Tang,10,2002,2002,BeTong,0,0,2003087277
2719,NhaLienKe,HP,129,ChuNhat,2Tang,5,2017,2017,Toi,0,0,1721314854
2720,CanHo,HCM,109,TamGiac,1Tang,9,1998,2016,BeTong,0,0,1361118752
2721,NhaPho,DN,175,Vuong,2Tang,10,1990,1995,Toi,0,0,2319904475
2722,CanHo,HP,101,ChuL,3Tang,7,2019,2019,BeTong,0,0,1455937523
2723,NhaPho,HCM,113,ChuL,CanHo,10,1996,1996,Gach,0,0,1479765397
2724,CanHo,CT,86,Vuong,CanHo,9,2016,2016,Toi,0,0,1279162796
2725,ChungCu,HN,153,TamGiac,1Tang,10,2016,2019,Gach,0,0,1949763456
2726,NhaPho,DN,183,TamGiac,2Tang,9,2013,2013,Gach,0,0,2630728761
2727,CanHo,HN,59,Vuong,3Tang,5,1997,1997,Toi,0,0,801170499
2728,CanHo,HCM,83,ChuNhat,2Tang,9,2002,2002,ToiGach,0,0,1162693631
2729,NhaLienKe,DN,200,Vuong,CanHo,8,2015,2017,BeTong,0,0,2415415600
2730,CanHo,HP,124,Vuong,3Tang,9,2010,2018,Toi,0,0,1735323084
2731,ChungCu,CT,200,ChuNhat,1Tang,6,1999,2007,Gach,0,0,2471807000
2732,ChungCu,HCM,80,ChuNhat,CanHo,8,2003,2006,Gach,0,0,1000567840
2733,NhaPho,CT,187,Vuong,3Tang,8,1995,1995,BeTong,0,0,2708907619
2734,NhaPho,HN,96,Vuong,1Tang,7,2016,2016,Toi,0,0,1177995264
2735,ChungCu,HCM,57,TamGiac,1Tang,10,1997,1997,Toi,0,0,695383185
2736,CanHo,HCM,197,Vuong,1Tang,7,1994,2021,ToiGach,0,0,2581565027
2737,CanHo,HCM,189,TamGiac,2Tang,8,2008,2022,Gach,0,0,2459160648
2738,NhaLienKe,CT,185,TamGiac,2Tang,6,2009,2009,BeTong,0,0,2613710895
2739,NhaLienKe,HCM,77,ChuL,1Tang,6,2014,2014,BeTong,0,0,1107398754
2740,ChungCu,DN,130,Vuong,2Tang,10,2010,2010,ToiGach,0,0,1780541100
2741,NhaLienKe,HP,135,Vuong,2Tang,10,1999,1999,Gach,0,0,1979749890
2742,ChungCu,HN,96,ChuL,CanHo,9,2017,2022,ToiGach,0,0,1201077984
2743,NhaLienKe,HN,52,ChuNhat,CanHo,8,2010,2023,ToiGach,0,0,758937816
2744,ChungCu,HP,100,ChuNhat,2Tang,7,2012,2012,Gach,0,0,1251449100
2745,NhaPho,CT,78,TamGiac,CanHo,7,1995,1995,Gach,0,0,1029029196
2746,NhaLienKe,CT,187,TamGiac,CanHo,10,2012,2012,ToiGach,0,0,2707356454
2747,NhaLienKe,CT,196,TamGiac,3Tang,6,2010,2018,BeTong,0,0,2813905752
2748,NhaLienKe,DN,63,Vuong,3Tang,6,2005,2022,ToiGach,0,0,841895082
2749,ChungCu,HCM,167,TamGiac,2Tang,10,1990,2017,Toi,0,0,2226167281
2750,ChungCu,HCM,88,Vuong,3Tang,8,2010,2011,BeTong,0,0,1249011016
2751,CanHo,HN,149,Vuong,1Tang,6,1997,1997,ToiGach,0,0,2182320454
2752,NhaLienKe,HN,165,TamGiac,3Tang,10,2001,2023,ToiGach,0,0,2131325130
2753,CanHo,HCM,171,ChuNhat,1Tang,10,2004,2009,Gach,0,0,2189995461
2754,NhaLienKe,HP,65,ChuL,CanHo,9,2008,2008,BeTong,0,0,902298800
2755,NhaLienKe,HN,57,ChuL,2Tang,10,2019,2019,Toi,0,0,827355000
2756,NhaPho,HCM,111,TamGiac,CanHo,5,1991,1991,ToiGach,0,0,1469446083
2757,NhaLienKe,CT,141,Vuong,3Tang,7,2004,2004,ToiGach,0,0,2024275383
2758,ChungCu,CT,151,TamGiac,CanHo,9,2009,2009,Toi,0,0,2132928001
2759,CanHo,DN,82,Vuong,2Tang,10,2000,2022,BeTong,0,0,1109014166
2760,NhaLienKe,CT,149,TamGiac,2Tang,9,2009,2009,BeTong,0,0,1898482308
2761,NhaPho,HCM,185,Vuong,CanHo,9,1999,1999,ToiGach,0,0,2751566605
2762,NhaPho,HP,58,ChuL,CanHo,10,2005,2005,Gach,0,0,697796608
2763,NhaPho,DN,195,ChuNhat,3Tang,7,2008,2021,BeTong,0,0,2665166400
2764,NhaPho,DN,161,ChuL,2Tang,9,2006,2010,BeTong,0,0,2105394102
2765,ChungCu,CT,111,ChuNhat,CanHo,5,2003,2003,Gach,0,0,1335759681
2766,NhaPho,HP,82,TamGiac,2Tang,10,2006,2006,Toi,0,0,1138036508
2767,NhaLienKe,HP,145,TamGiac,3Tang,5,2007,2007,BeTong,0,0,1787657730
